"time_fortnight","date_begin","total","reactive","mean","lower","upper"
"2019-22","2019-10-22",608,8,0.0131578947368421,0.00569730071480223,0.0257609846084113
"2019-23","2019-11-05",610,5,0.00819672131147541,0.00266665519783538,0.0190240479316961
"2019-24","2019-11-19",546,6,0.010989010989011,0.00404315402092537,0.0237641051109293
"2019-25","2019-12-03",514,3,0.00583657587548638,0.00120526339337634,0.0169614927095172
"2019-26","2019-12-17",554,5,0.00902527075812274,0.00293678996766122,0.0209354633711165
"2020-1","2020-01-01",467,5,0.0107066381156317,0.00348530128523317,0.0248077530437197
"2020-2","2020-01-15",572,6,0.0104895104895105,0.00385892192595017,0.0226906037461907
"2020-3","2020-01-29",669,7,0.0104633781763827,0.00421687999240539,0.0214391169016427
"2020-4","2020-02-12",530,9,0.0169811320754717,0.00779350818154201,0.0319899014870053
"2020-5","2020-02-26",628,7,0.0111464968152866,0.00449288869099718,0.0228305090231959
"2020-6","2020-03-11",659,18,0.0273141122913505,0.0162666614188095,0.0428254866108099
"2020-7","2020-03-25",392,34,0.086734693877551,0.0608138095403077,0.119093972434511
"2020-8","2020-04-08",622,73,0.117363344051447,0.0931314976199288,0.145294807097416
"2020-9","2020-04-22",637,77,0.120879120879121,0.0965841097140817,0.148750248239817
"2020-10","2020-05-06",584,83,0.142123287671233,0.114816421828346,0.173107995144423
"2020-11","2020-05-20",482,53,0.109958506224066,0.0834585248040038,0.141353459349274
"2020-12","2020-06-03",499,58,0.11623246492986,0.0894533435783723,0.147655759780957
"2020-13","2020-06-17",278,38,0.136690647482014,0.0985792998839125,0.182759471888342
"2020-14","2020-07-01",254,37,0.145669291338583,0.10468385582959,0.195152977462404
"2020-15","2020-07-15",288,35,0.121527777777778,0.0861269489276127,0.164945579167329
"2020-16","2020-07-29",267,40,0.149812734082397,0.109235150147783,0.198367215431177
"2020-17","2020-08-12",198,25,0.126262626262626,0.0834039831693729,0.180724253540853
"2020-18","2020-08-26",233,35,0.150214592274678,0.10691397360352,0.202670848563776
"2020-19","2020-09-09",165,33,0.2,0.141850436367478,0.269246757758613
