"date_begin","time_fortnight","lower","median","upper"
2019-10-22,"2019-22",NA,NA,NA
2019-11-05,"2019-23",2.14508052553269e-08,0.000185259748989371,0.00116678834602366
2019-11-19,"2019-24",2.22650077349399e-08,0.000198996729437749,0.0011846982677176
2019-12-03,"2019-25",3.17451971870632e-08,0.000234203914477781,0.00120001890944281
2019-12-17,"2019-26",4.08857102696461e-08,0.00029508860903497,0.00151822660012775
2020-01-01,"2020-1",9.36570052205952e-08,0.000414619486133744,0.0020422514753035
2020-01-15,"2020-2",1.3873882444477e-07,0.000488636857146479,0.00218855780684339
2020-01-29,"2020-3",2.44498167604069e-07,0.000670423924116459,0.00312880996973389
2020-02-12,"2020-4",3.58193199148952e-07,0.00102223481686689,0.0042771343516852
2020-02-26,"2020-5",0.000203097164115929,0.00235391799381479,0.00781545983758089
2020-03-11,"2020-6",0.0122191707864214,0.020946571335421,0.0283755247850368
2020-03-25,"2020-7",0.0274431134517347,0.0486038399514915,0.0652213247472403
2020-04-08,"2020-8",0.0140662360291748,0.0270569886510547,0.0465274850260102
2020-04-22,"2020-9",0.000609187373301907,0.00830086956384251,0.0197898150870192
2020-05-06,"2020-10",4.61710191245954e-06,0.00166586934492197,0.0100255284792347
2020-05-20,"2020-11",2.75892065634484e-07,0.000869627310818716,0.00548659830586016
2020-06-03,"2020-12",3.58312681161127e-07,0.00104639494781829,0.0117721624751938
2020-06-17,"2020-13",3.6820262723225e-07,0.00144376347298732,0.013982838547715
2020-07-01,"2020-14",9.56245190231881e-07,0.00122816596179228,0.0132214721013198
2020-07-15,"2020-15",3.70714277415224e-07,0.00109447205586773,0.0121329021005645
2020-07-29,"2020-16",1.7945036946028e-07,0.00123240918626551,0.0159386137880138
2020-08-12,"2020-17",6.4335622243783e-07,0.00227761371291831,0.0192506967816894
2020-08-26,"2020-18",3.31876146792885e-05,0.00824631338480944,0.0336389937084173
2020-09-09,"2020-19",0.000212754620288326,0.0413800293667599,0.111685041405862
