time_fortnight,date_begin,total,reactive,mean,lower,upper,col_width,data
2020-13.5,24/06/2020,18179,1115,0.061334507,0.05788943,0.064920709,27,REACT-2 national
2020-16.5,05/08/2020,22057,1205,0.054631183,0.05166823,0.057712177,27,REACT-2 national
2020-19.5,16/09/2020,33073,1682,0.050857195,0.048513761,0.0532799,27,REACT-2 national
2020-22,21/10/2020,30505,1892,0.062022619,0.059341373,0.064787638,13,REACT-2 national
2020-13.5,24/06/2020,2458,288,0.11716843,0.104712198,0.13054466,27,REACT-2 London
2020-16.5,05/08/2020,2797,256,0.091526636,0.081093059,0.102823722,27,REACT-2 London
2020-19.5,16/09/2020,4289,394,0.091862905,0.083382431,0.100903814,27,REACT-2 London
2020-22,21/10/2020,3867,394,0.101887768,0.092527694,0.111854205,13,REACT-2 London
